序号,测试项目,测试指标
1, CS01HR\模块1组件1通道1 ,S12
2, CS01HR\模块1组件1通道2 ,S12
3, CS01HR\模块1组件1通道3 ,S12
4, CS01HR\模块1组件1通道4 ,S12
5, CS01HR\模块1组件2通道1 ,S12
6, CS01HR\模块1组件2通道2 ,S12
7, CS01HR\模块1组件2通道3 ,S12
8, CS01HR\模块1组件2通道4 ,S12
9, CS01HR\模块1组件3通道1 ,S12
10, CS01HR\模块1组件3通道2 ,S12
11, CS01HR\模块1组件3通道3 ,S12
12, CS01HR\模块1组件3通道4 ,S12
13, CS01HR\模块1组件4通道1 ,S12
14, CS01HR\模块1组件4通道2 ,S12
15, CS01HR\模块1组件4通道3 ,S12
16, CS01HR\模块1组件4通道4 ,S12
17, CS01HR\模块1组件5通道1 ,S12
18, CS01HR\模块1组件5通道2 ,S12
19, CS01HR\模块1组件5通道3 ,S12
20, CS01HR\模块1组件5通道4 ,S12
21, CS01HR\模块1组件6通道1 ,S12
22, CS01HR\模块1组件6通道2 ,S12
23, CS01HR\模块1组件6通道3 ,S12
24, CS01HR\模块1组件6通道4 ,S12
25, CS01HR\模块1组件7通道1 ,S12
26, CS01HR\模块1组件7通道2 ,S12
27, CS01HR\模块1组件7通道3 ,S12
28, CS01HR\模块1组件7通道4 ,S12
29, CS01HR\模块1组件8通道1 ,S12
30, CS01HR\模块1组件8通道2 ,S12
31, CS01HR\模块1组件8通道3 ,S12
32, CS01HR\模块1组件8通道4 ,S12
